file,status,evidence
./app/ui/wui/wui_patch_serializer.oo,GREEN,imported by app/ui/wui/ANCHOR.oo
./app/ui/wui/wui_scheduler.oo,GREEN,imported by app/ui/wui/ANCHOR.oo
./app/ui/wui/wui_vdom_builder.oo,GREEN,imported by app/ui/wui/ANCHOR.oo
./app/ui/wui/wui_vnode.oo,GREEN,imported by app/ui/wui/ANCHOR.oo
./core/ANCHOR.oo,ANCHOR,front-door (RULES §1.19)
./core/cli/ANCHOR.oo,ANCHOR,front-door (RULES §1.19)
./core/cli/cli_argc_law.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./core/cli/cli_arg_parser_core.oo,GREEN,imported by core/cli/cli_arg_parser.oo
./core/cli/cli_arg_parser.oo,GREEN,imported by core/cli/ANCHOR.oo
./core/cli/cli_completion.oo,GREEN,imported by core/cli/ANCHOR.oo
./core/cli/cli_exit_code_law.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./core/cli/cli_glob_expansion_theory.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./core/cli/cli_invariants.oo,BLOCKED,no caller found
./core/cli/cli_kat.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./core/cli/cli_literature_kat.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./core/cli/cli.oo,GREEN,imported by core/cli/ANCHOR.oo
./core/cli/cli_pager_convention_law.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./core/cli/cli_prompt.oo,GREEN,imported by core/cli/ANCHOR.oo
./core/cli/cli_signal_handling_principle.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./core/cli/cli_style.oo,GREEN,imported by core/cli/ANCHOR.oo
./core/cli/optparse_long_options_law.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./core/cli/posix_utility_convention_theory.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./core/cli/sh.oo,GREEN,imported by app/ai/algo/graph_networks.oo
./core/cli/ux_help_text_principle.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./core/collection/advanced/ANCHOR.oo,ANCHOR,front-door (RULES §1.19)
./core/collection/ANCHOR.oo,ANCHOR,front-door (RULES §1.19)
./core/collection/arena_allocator_basic.oo,BLOCKED,no caller found
./core/collection/array_ring.oo,BLOCKED,no caller found
